Enrollmentno,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10
E8249,C2165-IT,C3971-IT,C2165-ME,C1899-EC,C8743-ME,C9896-ME,C7748-ME,C9356-EE,C3397-ICT,C2002-EE
E7678,C4852-IT,C4852-CSE,C3971-CSE,C5532-ME,C7748-EC,C9896-EC,C2342-ME,C2342-ICT,C8405-IC,C1648-IC
E5092,C3971-ME,C2165-ICT,C3971-ICT,C2051-ME,C8611-ME,C2002-EC,C2051-EC,C7134-CH,C5019-EE,C2002-CH
E6273,C3971-ICT,C4852-ME,C4852-ME,C8403-EC,C6792-ME,C9896-EC,C2996-EC,C4566-CH,C2062-ICT,C3397-ICT
E5952,C3971-CSE,C2165-CSE,C4852-ICT,C4083-EC,C7343-ME,C3397-ME,C5848-ME,C2642-IC,C7134-ICT,C9739-ICT
E6168,C2165-IT,C2165-CSE,C4852-IT,C1902-EC,C8200-ME,C1902-EC,C2002-ME,C9670-IC,C3900-IC,C5132-ICT
E8045,C3971-ME,C4852-ICT,C3971-IT,C2062-ME,C2558-ME,C9590-EC,C2002-EC,C3799-IC,C1961-CH,C6706-CH
E0466,C2165-ICT,C2165-ME,C4852-ICT,C6525-EC,C8772-ME,C7748-ME,C9590-ME,C4885-CH,C8403-CH,C3998-CH
E4812,C4852-ICT,C4852-ME,C4852-ME,C2996-EC,C8403-EC,C5602-EC,C5588-ME,C5588-EE,C9670-IC,C1648-CH
E1499,C3971-IT,C4852-ME,C4852-ICT,C5302-EC,C6706-EC,C7937-EC,C4922-EC,C7128-IC,C5019-IC,C1282-CH
E0599,C4852-IT,C3971-IT,C4852-ICT,C2002-EC,C9416-ME,C6416-ME,C3799-EC,C6792-IC,C5724-EE,C9751-EE
E7419,C2165-ME,C4852-CSE,C2165-IT,C5848-ME,C8772-ME,C7748-EC,C2921-ME,C9670-IC,C8403-EE,C2511-EE
E5360,C4852-IT,C2165-ME,C2165-IT,C9356-EC,C7906-ME,C5532-ME,C8743-EC,C1745-ICT,C5724-ICT,C9416-CH
E7159,C3971-ICT,C4852-ICT,C3971-ME,C1648-ME,C8743-EC,C4885-EC,C5207-EC,C9416-CH,C9120-CH,C1282-EE
E9899,C4852-IT,C3971-ICT,C4852-ME,C4515-EC,C2458-EC,C2342-ME,C5302-EC,C2000-EE,C8743-CH,C7128-IC
E0802,C2165-CSE,C4852-CSE,C3971-CSE,C9143-EC,C2002-ME,C2000-ME,C7479-ME,C9846-EE,C4695-CH,C4852-EE
E4162,C3971-ME,C2165-ICT,C3971-ME,C8203-ME,C8611-ME,C4953-ME,C8743-EC,C2062-IC,C9670-EE,C7071-IC
E5475,C2165-CSE,C2165-ICT,C3971-CSE,C7151-ME,C3900-EC,C5532-ME,C9590-EC,C9769-EE,C8200-IC,C9896-ICT
E1683,C4852-IT,C3971-CSE,C4852-ICT,C9751-EC,C8200-ME,C9038-EC,C6073-ME,C2000-EE,C5049-EE,C7071-ICT
E7597,C2165-ICT,C3971-CSE,C2165-ICT,C2000-ME,C2165-EC,C7466-EC,C7198-ME,C8772-IC,C4070-IC,C2342-IC
E8631,C4852-IT,C4852-ICT,C2165-CSE,C8743-EC,C1902-EC,C7466-ME,C6301-ME,C4885-ICT,C7151-CH,C3971-IC
E6142,C3971-ME,C4852-IT,C2165-ICT,C2996-ME,C3397-ME,C8203-EC,C9557-ME,C6792-EE,C2458-IC,C7466-IC
E9888,C2165-CSE,C4852-ICT,C4852-ICT,C4922-EC,C5132-EC,C2165-ME,C3971-ME,C6792-IC,C6706-IC,C2062-IC
E2279,C3971-ICT,C4852-CSE,C3971-ME,C3998-EC,C1961-ME,C1961-ME,C6679-ME,C6073-IC,C1282-IC,C9416-ICT
E9968,C4852-ICT,C4852-CSE,C2165-IT,C5583-EC,C9416-EC,C5019-EC,C5132-EC,C5302-CH,C5302-CH,C5479-IC
E4363,C3971-ME,C3971-IT,C2165-ME,C9751-ME,C7128-EC,C7151-ME,C8405-EC,C9670-EE,C5302-IC,C3971-IC
E3990,C4852-ME,C4852-IT,C3971-CSE,C9670-ME,C9590-EC,C9356-EC,C9080-ME,C4852-CH,C7151-ICT,C9356-IC
E4538,C4852-CSE,C3971-CSE,C2165-ME,C2511-EC,C5602-ME,C9769-EC,C5207-ME,C2342-IC,C2342-ICT,C2051-CH
E8705,C4852-IT,C4852-IT,C2165-CSE,C1902-ME,C2642-EC,C2458-EC,C2002-ME,C1961-ICT,C2458-CH,C8426-IC
