CollegeCode,CSE,IT,ME,EE,EC,IC,CH,ICT,Rank
C2165,118,55,176,0,60,0,180,103,1
C3971,57,190,171,180,60,240,0,107,2
C4852,176,125,125,180,0,60,120,225,3
C8405,134,209,29,180,180,180,0,180,4
C7748,17,195,195,0,60,180,0,240,5
C5848,0,19,81,0,240,120,0,120,6
C4885,15,199,0,0,180,0,60,240,7
C4695,208,136,142,0,0,0,60,180,8
C9225,0,16,194,60,0,240,120,120,9
C4070,201,0,19,0,180,60,120,120,10
C4650,0,14,17,180,180,0,0,180,11
C7134,137,135,195,0,0,180,120,120,12
C7479,133,88,73,120,240,240,180,180,13
C1745,0,29,15,0,240,0,0,120,14
C9356,195,133,77,120,120,240,120,60,15
C1648,21,143,137,240,120,120,120,120,16
C6792,0,74,86,60,120,60,60,60,17
C8813,198,0,0,60,120,240,60,120,18
C9751,0,80,208,180,180,0,0,180,19
C5588,201,70,194,60,180,0,180,60,20
C4922,16,13,78,60,180,180,0,120,21
C5019,18,20,73,180,180,240,120,120,22
C2996,27,15,19,180,180,180,240,60,23
C8200,18,0,22,180,60,60,60,60,24
C7343,83,13,196,180,60,0,180,60,25
C3232,195,0,20,180,60,0,240,0,26
C4083,0,212,77,60,240,0,0,240,27
C8743,199,28,139,240,180,180,240,60,28
C2511,0,145,17,240,180,60,180,60,29
C9120,0,0,78,240,0,240,120,240,30
C2002,77,201,26,120,240,0,120,120,31
C5602,0,84,131,120,120,60,0,120,32
C1282,136,135,186,120,0,240,240,60,33
C9277,22,27,77,180,180,120,120,180,34
C7071,138,203,16,240,0,120,240,120,35
C7466,85,0,203,0,60,180,240,240,36
C3900,202,0,210,180,120,180,240,180,37
C2642,0,25,209,120,120,60,60,180,38
C9038,71,0,0,120,240,0,60,0,39
C7198,22,76,148,120,0,0,0,0,40
C4953,26,0,9,180,60,0,240,0,41
C5724,0,0,0,240,0,0,180,120,42
C9557,84,80,84,180,0,120,60,240,43
C3799,149,19,0,0,180,180,180,120,44
C8772,201,16,14,60,180,120,60,0,45
C4566,27,0,85,180,0,180,180,120,46
C5583,23,95,130,120,120,180,0,0,47
C7951,22,145,153,60,0,0,240,120,48
C2558,24,77,143,240,240,60,0,240,49
C8198,187,0,20,240,120,180,240,240,50
C2000,87,139,207,240,0,0,180,180,51
C4000,0,201,0,60,240,120,240,180,52
C6706,23,187,194,120,240,180,60,0,53
C8426,0,73,201,60,120,180,180,240,54
C7151,135,83,195,0,60,0,60,180,55
C2342,0,71,21,60,180,120,0,120,56
C5479,24,12,0,180,0,180,240,60,57
C3305,16,147,135,240,60,180,0,60,58
C1674,88,0,0,0,0,180,120,180,59
C9670,80,77,145,180,120,120,240,120,60
C6525,77,145,211,120,120,60,240,180,61
C8611,141,132,86,240,0,0,120,60,62
C3973,72,192,70,60,0,180,180,0,63
C9080,20,78,196,120,240,180,240,120,64
C5049,150,152,209,240,0,180,240,60,65
C9846,131,24,19,120,0,240,0,180,66
C9590,86,96,144,0,120,120,180,240,67
C9143,202,0,24,180,120,240,240,120,68
C2062,136,144,195,120,60,240,0,120,69
C9739,197,193,196,60,0,240,120,240,70
C1899,201,23,13,240,120,60,60,0,71
C6073,0,25,85,120,240,240,0,120,72
C7906,16,0,82,120,0,180,240,180,73
C7937,15,0,67,120,60,180,180,180,74
C9769,89,0,28,180,120,240,180,180,75
C5717,199,0,0,0,0,180,240,120,76
C4515,0,206,0,180,120,240,60,120,77
C1902,0,145,201,240,240,180,60,180,78
C5989,74,211,140,60,60,180,0,240,79
C2051,192,142,195,180,180,180,240,240,80
C6698,146,207,197,120,0,0,240,0,81
C5302,195,81,24,120,180,180,180,240,82
C6301,27,144,74,180,0,0,240,240,83
C6416,75,0,146,240,0,120,120,240,84
C5132,0,76,0,60,180,120,0,60,85
C5532,143,0,202,240,0,180,240,60,86
C9896,201,19,137,180,240,60,240,60,87
C6679,0,76,196,0,180,240,120,60,88
C3998,73,81,18,60,180,120,240,120,89
C3397,136,132,129,60,180,240,180,60,90
C8403,91,201,0,120,60,0,180,0,91
C8852,87,81,0,60,0,240,60,60,92
C7128,198,83,208,180,60,240,120,120,93
C1961,0,73,81,180,60,0,180,120,94
C9416,202,0,77,240,120,60,60,240,95
C8203,81,133,13,120,180,120,180,120,96
C2921,201,69,15,180,60,180,240,120,97
C5207,141,24,138,60,240,60,0,240,98
C2547,200,0,198,120,0,0,60,240,99
C2458,76,152,0,60,240,240,120,240,100
