Enrollmentno,sub1,sub2,sub3,sub4,sub5,Total,Rank
E8249,98,92,99,91,100,480,1
E7678,95,92,100,93,99,479,2
E5092,98,94,93,93,96,474,3
E6273,99,95,95,99,83,471,4
E5952,96,92,96,87,100,471,5
E6168,87,95,97,97,93,469,6
E8045,99,97,99,75,94,464,7
E0466,90,95,91,93,92,461,8
E4812,71,100,95,94,100,460,9
E1499,84,82,100,96,98,460,10
E0599,99,84,96,93,88,460,11
E7419,94,91,93,99,83,460,12
E5360,72,100,96,93,99,460,13
E7159,88,98,97,84,92,459,14
E9899,96,98,75,94,95,458,15
E0802,91,100,99,75,93,458,16
E4162,100,78,97,96,86,457,17
E5475,95,80,97,96,89,457,18
E1683,88,98,96,90,85,457,19
E7597,81,100,94,85,97,457,20
E8631,100,92,97,85,82,456,21
E6142,97,72,97,100,90,456,22
E9888,94,75,99,90,98,456,23
E2279,94,99,87,81,94,455,24
E9968,90,87,93,97,88,455,25
E4363,79,97,92,89,98,455,26
E3990,69,98,95,98,95,455,27
E4538,100,68,94,99,93,454,28
E8705,79,100,94,88,93,454,29
E7068,85,99,96,74,100,454,30
E6507,76,95,99,95,89,454,31
E4325,95,68,95,96,100,454,32
E8388,95,81,97,90,90,453,33
E6963,81,100,96,93,83,453,34
E8137,90,73,97,92,100,452,35
E9151,73,100,89,91,99,452,36
E7886,91,99,84,81,96,451,37
E7013,71,100,93,92,95,451,38
E7428,100,93,79,92,87,451,39
E4215,98,87,97,97,72,451,40
E6011,89,86,97,88,91,451,41
E3982,100,93,99,100,59,451,42
E6733,99,97,65,90,99,450,43
E3023,94,80,91,84,100,449,44
E9116,87,92,94,86,90,449,45
E8999,76,96,100,96,80,448,46
E3563,87,76,99,86,100,448,47
E2192,73,89,90,98,98,448,48
E2808,90,88,92,92,86,448,49
E8505,65,100,86,98,99,448,50
E7176,98,91,87,80,91,447,51
E9219,84,86,94,84,99,447,52
E8253,99,87,91,91,79,447,53
E3994,96,98,82,83,88,447,54
E3710,93,88,92,93,80,446,55
E2146,84,83,92,91,96,446,56
E6424,92,91,72,91,100,446,57
E1554,72,99,90,88,97,446,58
E7748,96,83,86,81,100,446,59
E9783,91,92,71,98,93,445,60
E5167,98,99,86,95,67,445,61
E8413,82,96,98,86,83,445,62
E4132,82,94,88,94,87,445,63
E2871,100,48,100,98,99,445,64
E1477,92,67,98,89,98,444,65
E3389,100,93,95,75,81,444,66
E1300,96,100,86,76,86,444,67
E8309,98,96,95,98,56,443,68
E1652,93,68,100,96,86,443,69
E5335,78,97,80,90,98,443,70
E4150,89,82,72,100,100,443,71
E9359,90,93,77,83,100,443,72
E4794,96,95,95,97,60,443,73
E4293,71,96,100,88,88,443,74
E1600,86,77,100,99,81,443,75
E2527,88,93,96,73,93,443,76
E6780,96,87,95,91,74,443,77
E4958,86,90,93,76,97,442,78
E1632,86,96,92,92,76,442,79
E3409,96,86,94,70,96,442,80
E6957,86,91,79,93,93,442,81
E3010,86,91,86,98,81,442,82
E0770,96,90,78,87,91,442,83
E4145,71,96,75,99,100,441,84
E9340,90,86,74,96,95,441,85
E3111,90,99,61,93,97,440,86
E9712,92,86,79,86,97,440,87
E8598,95,94,79,79,93,440,88
E0295,100,94,95,85,66,440,89
E7497,93,96,56,98,97,440,90
E5883,77,93,88,84,98,440,91
E8148,86,80,94,83,97,440,92
E4621,97,57,92,100,94,440,93
E0304,80,81,98,91,89,439,94
E4906,100,80,88,97,74,439,95
E7201,95,93,83,85,83,439,96
E0034,77,100,98,100,64,439,97
E8612,98,91,97,62,91,439,98
E4445,97,67,92,90,93,439,99
E9932,96,82,70,97,94,439,100
E8091,98,98,99,65,79,439,101
E5212,100,62,86,99,91,438,102
